nom_Person	categorie	nb_Production	aver_Note	sum_numVotes
Greg Mottola	director	16	7.0	2015631
Ash Brannon	director	9	7.7	2015262
Pedro Almodóvar	director	47	7.4	2004073
Mike Flanagan	director	25	6.7	1996700
Kevin Reynolds	director	25	6.8	1961054
Dan Gilroy	director	11	7.5	1960677
Alejandro Amenábar	director	20	7.4	1959260
Mary Harron	director	17	7.5	1953039
Nora Ephron	director	20	6.5	1950166
Michael Apted	director	90	6.5	1938021
Yimou Zhang	director	66	7.2	1924760
Andy Muschietti	director	7	6.6	1909386
Alan Parker	director	41	7.4	1904600
Kelly Asbury	director	18	7.1	1893078
Mark Osborne	director	10	7.5	1890681
Brian Helgeland	director	15	7.0	1889976
Albert Hughes	director	16	6.8	1877979
Jack Kinney	director	46	7.3	1874985
Jean-Marc Vallée	director	19	7.6	1868020
Walter Hill	director	64	6.5	1864263
Rajkumar Hirani	director	13	8.2	1849400
Kevin Macdonald	director	54	7.2	1846329
Paul Weitz	director	28	6.5	1845460
Jean-Jacques Annaud	director	39	7.4	1844479
Evan Goldberg	director	7	6.5	1837550
Guy Hamilton	director	53	7.0	1836948
Terrence Malick	director	28	7.1	1822667
Brad Anderson	director	35	7.0	1809260
Baltasar Kormákur	director	52	6.7	1787049
Anthony Minghella	director	18	7.3	1775424
Mervyn LeRoy	director	180	7.8	1746267
George Roy Hill	director	31	8.0	1746161
Jerry Zucker	director	16	6.9	1744556
William Friedkin	director	57	7.1	1736030
Paul McGuigan	director	26	7.1	1733569
Florian Henckel von Donnersmarck	director	8	7.7	1732386
Tarsem Singh	director	16	6.5	1729646
Patrick Hughes	director	14	6.4	1703413
David F. Sandberg	director	9	6.8	1700691
Brad Silberling	director	22	6.4	1697096
David Koepp	director	20	6.4	1696988
Terry George	director	16	7.4	1691253
Jonathan Mostow	director	20	6.4	1690789
James Marsh	director	31	7.6	1686618
Kyle Balda	director	12	6.4	1681977
Neil Marshall	director	22	6.5	1680949
Brenda Chapman	director	9	7.1	1664709
Cary Joji Fukunaga	director	15	7.4	1652626
John Madden	director	31	6.9	1651582
Peter Spierig	director	15	6.7	1639059
Michael Spierig	director	15	6.7	1639059
Noah Baumbach	director	32	7.2	1635959
David Frankel	director	20	6.8	1631796
Joachim Rønning	director	16	6.6	1609872
John Hillcoat	director	19	7.1	1599701
William Wyler	director	107	7.9	1599177
Michael Thurmeier	director	12	6.6	1595343
Kevin Lima	director	12	7.0	1593006
David Zucker	director	23	6.6	1582108
Dan Trachtenberg	director	7	7.2	1574697
Roger Michell	director	36	6.9	1572627
Tony Gilroy	director	9	6.7	1570173
John Glen	director	26	6.5	1564440
Robert Altman	director	101	7.0	1553361
Jim Sheridan	director	24	7.2	1553301
Dan Scanlon	director	7	7.3	1544000
James L. Brooks	director	16	7.2	1539714
Oliver Hirschbiegel	director	27	7.7	1538362
Giuseppe Tornatore	director	32	7.9	1530812
Scott Cooper	director	25	6.9	1530287
Kátia Lund	director	8	8.6	1522348
Destin Daniel Cretton	director	12	7.4	1518358
Penny Marshall	director	45	7.2	1516087
Gabriele Muccino	director	24	7.7	1513830
Eric Bress	director	7	7.6	1511295
Tomas Alfredson	director	30	7.1	1502925
Richard Thorpe	director	300	7.8	1502165
Don Siegel	director	94	7.5	1501423
James Gray	director	22	6.6	1500684
George A. Romero	director	44	6.7	1500562
Randal Kleiser	director	40	6.6	1499359
Tommy Wirkola	director	24	6.4	1497819
Tim Johnson	director	19	6.6	1495175
Dean Parisot	director	25	6.7	1485907
Blake Edwards	director	100	7.1	1472120
Tate Taylor	director	18	6.8	1462725
Norman Jewison	director	67	7.3	1462345
Frank Oz	director	78	6.6	1461536
Stanley Donen	director	77	7.7	1459941
Fritz Lang	director	110	7.9	1459454
Genndy Tartakovsky	director	24	6.8	1456413
King Vidor	director	104	7.9	1454230
Howard Hawks	director	108	7.5	1451821
Jennifer Yuh Nelson	director	9	7.1	1451532
Don Bluth	director	36	6.9	1450950
Valerie Faris	director	10	7.5	1446029
Jonathan Dayton	director	8	7.5	1445997
Adrian Lyne	director	21	6.6	1443581
John Ford	director	238	7.6	1442925
Stephen Daldry	director	21	7.4	1429624
Garth Jennings	director	12	7.0	1427877
Iain Softley	director	22	6.7	1424739
David Mackenzie	director	27	7.2	1418770
Ingmar Bergman	director	90	7.9	1412440
John Sturges	director	100	7.7	1410708
Norman Taurog	director	185	7.8	1398834
Wilson Yip	director	60	7.6	1396905
Terence Young	director	90	7.1	1395826
Susanne Bier	director	31	6.6	1390212
Stephen Norrington	director	12	6.6	1384137
Bill Roberts	director	16	7.3	1354674
John Badham	director	72	6.5	1353592
Gil Junger	director	33	6.9	1348206
Makoto Shinkai	director	21	8.0	1346601
John Frankenheimer	director	80	6.9	1344109
Michael Haneke	director	34	7.3	1332734
José Padilha	director	20	7.0	1330813
Derek Cianfrance	director	15	7.3	1329614
Jee-woon Kim	director	31	7.1	1325905
Pete Travis	director	20	6.9	1312409
George P. Cosmatos	director	25	6.8	1312068
Espen Sandberg	director	15	6.6	1301232
Rob Zombie	director	18	6.6	1295064
Sam Wood	director	140	8.0	1291128
Cate Shortland	director	14	6.7	1283850
Sean Anders	director	14	6.4	1282628
Andrew Dominik	director	16	6.8	1282611
Steve Purcell	director	10	7.1	1282343
Kar-Wai Wong	director	32	7.5	1281425
Corey Yuen	director	83	6.5	1280618
Gary Fleder	director	35	6.7	1273770
Josh Boone	director	8	7.1	1270009
Richard Attenborough	director	154	7.6	1267734
Josh Safdie	director	19	7.4	1262815
Gareth Evans	director	18	7.4	1260617
Leigh Whannell	director	24	7.3	1256025
Boaz Yakin	director	26	7.2	1252576
Mark Andrews	director	13	7.1	1245474
Chloé Zhao	director	7	6.5	1235860
Isao Takahata	director	40	8.2	1233082
Vincenzo Natali	director	22	6.6	1231845
Jordan Vogt-Roberts	director	9	6.7	1215459
Daniel Scheinert	director	10	7.7	1215234
Steve Martino	director	12	6.7	1214427
Takashi Miike	director	185	6.9	1207363
Angus MacLane	director	9	7.0	1204797
Richard Fleischer	director	127	6.5	1199036
Franklin J. Schaffner	director	37	7.9	1197797
Dan Kwan	director	7	7.7	1197721
Richard LaGravenese	director	16	6.9	1191062
Norman Ferguson	director	13	7.4	1187735
Alan J. Pakula	director	41	7.0	1181826
Mathieu Kassovitz	director	59	6.6	1173163
Kurt Wimmer	director	8	6.9	1169053
Lewis Gilbert	director	100	6.7	1161424
Ted Demme	director	22	7.3	1155706
Fede Alvarez	director	7	6.9	1154796
Krzysztof Kieslowski	director	35	7.9	1152042
Aaron Sorkin	director	8	7.5	1145528
Emile Ardolino	director	26	6.7	1139101
Ric Roman Waugh	director	20	6.7	1134942
Lenny Abrahamson	director	15	7.8	1131466
Samuel Armstrong	director	9	7.4	1130688
Brad Furman	director	14	7.0	1130682
Nimród Antal	director	17	6.4	1121598
Ben Sharpsteen	director	9	7.4	1118940
John Carney	director	17	7.7	1117451
Simon Wells	director	25	6.5	1113772
Randall Wallace	director	15	6.7	1111247
Jeff Tremaine	director	20	6.8	1100929
Chris McKay	director	10	6.9	1098944
Barry Cook	director	9	7.4	1095297
Larry Charles	director	18	6.8	1091770
Ted Kotcheff	director	56	7.3	1079410
Nick Park	director	9	7.2	1065816
Jaume Balagueró	director	29	6.9	1055836
Michael Caton-Jones	director	32	6.4	1053958
George Tillman Jr.	director	17	6.9	1044916
Werner Herzog	director	81	7.2	1043197
Sharon Maguire	director	13	6.7	1040635
Jonathan Lynn	director	29	7.0	1038840
Lawrence Kasdan	director	28	6.5	1036777
Niels Arden Oplev	director	24	7.1	1031062
Jane Campion	director	23	6.9	1022856
Luca Guadagnino	director	23	7.3	1022466
Bruce Beresford	director	80	6.8	1015359
Greta Gerwig	director	55	7.6	1005866
Gaspar Noé	director	18	7.0	1001821
Jason Moore	director	13	7.0	997077
J.C. Chandor	director	10	6.8	994272
Thomas Vinterberg	director	28	7.7	988071
Robert Stevenson	director	122	7.3	987619
Phyllida Lloyd	director	9	6.5	973031
