nom_Person	categorie	nb_Production	aver_Note	sum_numVotes
Rémy Girard	actor	67	7.1	174904
Misa Uehara	actress	27	7.7	174886
Richa Chadha	actress	35	7.5	174776
Darren E. Scott	actor	9	7.7	174700
Geoffrey Palmer	actor	58	8.2	174688
Nicola Walker	actress	21	8.1	174677
Ulla Jacobsson	actress	39	7.5	174648
Larry D. Mann	actor	67	7.8	174616
Del Negro	actor	7	7.8	174614
Jin-mo Joo	actor	40	7.9	174607
Waluscha D'Souza	actress	11	6.9	174599
William Salyers	actor	13	8.3	174505
Skye Roberts	actress	8	7.6	174460
Samuel Barnett	actor	20	8.0	174457
Emily Neves	actress	111	7.3	174409
Jeremy Slate	actor	36	7.1	174347
Robert Cornthwaite	actor	12	7.0	174275
Les Tremayne	actor	62	6.8	174250
Marius Goring	actor	71	7.5	174250
Tracy Grandstaff	actress	7	7.8	174242
Bayo Gbadamosi	actor	8	7.7	174231
Diana Penty	actress	16	7.1	174189
Silambarasan Rajendar	actor	55	7.3	174158
Robert Montgomery	actor	136	6.7	174158
Robert Montgomery	director	136	6.7	174158
Deezer D	actor	10	6.9	174134
Gürkan Uygun	actor	41	7.2	174126
Michel Blanc	actor	75	6.8	174056
Michel Blanc	director	75	6.8	174056
Philip Jackson	actor	42	8.3	173992
Jeanne Crain	actress	79	7.2	173973
Bruno Gagliasso	actor	31	7.1	173910
Stephen Lack	actor	7	6.7	173877
Brian Goodman	actor	17	7.4	173857
Brian Goodman	director	17	7.4	173857
Wayne Grayson	actor	112	7.3	173801
William Russ	actor	56	7.6	173747
Susanne Blakeslee	actress	21	7.1	173712
Dana Wheeler-Nicholson	actress	23	6.8	173707
Rakshit Shetty	actor	24	8.6	173675
Clelia Matania	actress	26	7.2	173660
Alba Baptista	actress	13	7.0	173647
Tahmoh Penikett	actor	32	7.4	173603
Malik Zidi	actor	57	6.5	173551
Mario Adorf	actor	202	7.1	173539
Müjde Ar	actress	106	7.9	173487
Keisha Castle-Hughes	actress	23	7.2	173460
Valarie Rae Miller	actress	11	7.5	173454
Sanjeev Bhaskar	actor	33	7.0	173313
Maia Mitchell	actress	23	6.8	173233
Alberto San Juan	actor	51	7.0	173133
Mike Birbiglia	actor	15	6.6	173128
Griffin Matthews	actor	8	7.1	173125
Nate Corddry	actor	18	7.9	173101
Audrey Grace Marshall	actress	9	7.0	173034
Marie-Laure Dougnac	actress	7	7.6	172964
Colin Blakely	actor	64	6.8	172951
Shantanu Maheshwari	actor	7	7.8	172833
Christopher Shyer	actor	18	6.8	172773
Aki Toyosaki	actress	129	7.6	172766
Otto Preminger	director	107	8.0	172713
Otto Preminger	actor	107	8.0	172713
David James Elliott	actor	53	6.7	172689
Aisha Dee	actress	24	7.0	172670
Zero Mostel	actor	33	7.3	172624
Alastair Sim	actor	87	7.4	172446
Nilli Karim	actress	59	7.6	172431
Chanchal Chowdhury	actor	39	8.6	172412
JoAnna Garcia Swisher	actress	29	7.2	172395
Helen Chandler	actress	44	7.3	172362
Robert Webber	actor	57	6.6	172354
Miracle Laurie	actress	12	7.5	172279
Ron Moody	actor	51	7.2	172141
Anthony Higgins	actor	46	6.6	172090
André Wilms	actor	50	7.3	172056
Marina de Tavira	actress	32	7.6	172052
Victor Slezak	actor	9	7.6	172030
Wendy Hiller	actress	35	7.6	172010
Tom Irwin	actor	33	7.6	171982
Bex Taylor-Klaus	actress	14	7.1	171943
Justin Shenkarow	actor	25	7.7	171911
Jean Harlow	actress	56	7.2	171871
Martin Gabel	director	28	7.0	171849
Martin Gabel	actor	28	7.0	171849
Danny Cooksey	actor	49	7.2	171819
Engin Altan Düzyatan	actor	50	7.3	171798
Amber Lee Connors	director	200	7.3	171776
Amber Lee Connors	actress	200	7.3	171776
Ahn Bo-Hyun	actor	30	8.0	171668
Jessalyn Gilsig	actress	47	6.7	171650
Lewis Stone	actor	198	6.7	171613
Fedja van Huêt	actor	76	6.9	171576
Scott Brady	actor	128	6.9	171512
Richard Webber	actor	11	7.5	171510
Nathan Kress	actor	31	6.5	171447
Jerry Trainor	actor	28	6.6	171410
Anndi McAfee	actress	24	6.8	171317
Anthony Montgomery	actor	15	7.4	171292
Kevin McNally	actor	70	7.2	171217
Manuel Masalva	actor	10	8.4	171206
Johanna ter Steege	actress	38	7.5	171190
Bige Önal	actress	14	7.2	171190
Michiyo Yasuda	actress	42	7.5	171182
Sumanth	actor	49	8.4	171152
Vishnu Vishal	actor	25	8.1	171025
Chris Gauthier	actor	12	7.8	171024
Nikola Kojo	actor	60	7.8	170978
Leo Suter	actor	10	6.7	170969
Kunchacko Boban	actor	173	7.2	170957
Adam Bartley	actor	10	7.9	170939
Richard Ian Cox	actor	81	7.9	170871
Richard Ian Cox	director	81	7.9	170871
Shirley Temple	actress	84	7.0	170856
Roy Dupuis	actor	93	6.6	170642
Emma Catherine Rigby	actress	17	7.0	170587
Dillon Casey	actor	26	7.5	170577
Tuncel Kurtiz	actor	48	8.3	170467
Robert Lee	actor	35	8.3	170466
Robert Lee	director	35	8.3	170466
Shalini Pandey	actress	15	6.9	170446
Geert Van Rampelberg	actor	40	7.5	170334
Steven Keats	actor	34	6.7	170310
Neil Grayston	actor	13	7.8	170284
Fermín Martínez	actor	8	8.4	170268
Anthony Konechny	actor	16	7.7	170012
Jasmine Guy	actress	36	7.8	169990
Lee Ingleby	actor	25	6.8	169970
Ethel Merman	actress	29	7.3	169954
Sakina Jaffrey	actress	10	7.3	169942
Edwin Neal	actor	30	7.3	169903
Kang Ki-young	actor	33	8.1	169743
Sean Berdy	actor	8	7.4	169714
Malcolm-Jamal Warner	actor	26	7.4	169686
Malcolm-Jamal Warner	director	26	7.4	169686
Mann Alfonso	actor	10	7.4	169653
Jayne Eastwood	actress	99	7.2	169603
Asif Ali	actor	147	7.1	169518
Roland Manookian	actor	13	6.7	169470
Philip Chan	actor	68	7.6	169435
Philip Chan	director	68	7.6	169435
Park Ji-hu	actress	11	7.5	169347
Tony Denison	actor	66	7.4	169331
Kim Eui-sung	actor	69	7.2	169321
Gary Carr	actor	10	7.7	169296
Neha Dhupia	actress	74	6.9	169215
Brady Noon	actor	8	6.7	169172
Leo Genn	actor	74	7.0	169150
Jean Peters	actress	42	7.1	169147
Valarie Pettiford	actress	14	7.8	169126
Murat Cemcir	actor	14	7.7	169124
Lianella Carell	actress	13	8.3	169100
Amol Parashar	actor	26	7.8	169077
Pádraic Delaney	actor	10	7.2	169069
Ayberk Pekcan	actor	13	7.9	169041
Seok-Won Jeong	actor	23	8.1	169028
Nicole Gale Anderson	actress	21	6.5	169006
Joanne Dru	actress	58	7.2	168949
Sergey Makovetskiy	actor	96	7.1	168915
Beau Mirchoff	actor	18	7.2	168874
Hippolyte Girardot	actor	109	6.7	168752
Ayahi Takagaki	actress	91	7.5	168725
Michael Socha	actor	22	6.5	168692
Hema Malini	actress	271	7.0	168654
Hema Malini	director	271	7.0	168654
T'Nia Miller	actress	10	7.7	168638
Kristen Hager	actress	23	7.1	168607
Kang Ha-neul	actor	49	7.5	168495
Aparna Balamurali	actress	32	8.4	168453
Lenore Zann	actress	59	8.1	168389
Abigail Cowen	actress	8	6.7	168369
Kong Chu	actor	25	7.6	168288
Arjun Gupta	actor	17	7.4	168283
Jason Ralph	actor	8	7.5	168195
Kaiji Tang	actor	63	7.2	168078
Mekia Cox	actress	12	7.7	168049
Mira Furlan	actress	68	7.9	168048
Maulik Pancholy	actor	15	7.7	168001
Everett Sloane	actor	43	7.3	167976
Nidhi Singh	actress	25	8.0	167940
André Berley	actor	18	8.2	167858
Ari Stidham	actor	7	7.0	167826
Ari Stidham	director	7	7.0	167826
Evelyn Keyes	actress	81	7.1	167823
André Sogliuzzo	actor	25	6.8	167809
Yann Gael	actor	15	7.4	167748
Francis Ng	actor	226	6.8	167676
Satoshi Tsumabuki	actor	101	6.6	167666
Muhammet Uzuner	actor	24	7.8	167666
Suraj Venjaramoodu	actor	91	7.5	167595
Cansu Dere	actress	23	8.0	167590
William Hartnell	actor	45	8.0	167564
Nathan West	actor	9	7.4	167513
Teresa Mo	actress	55	7.6	167439
Carlo Verdone	actor	47	7.1	167434
Rickey D'Shon Collins	actor	9	7.4	167295
Dwight Frye	actor	11	7.3	167282
Garry Chalk	actor	178	7.0	167256
Anna Massey	actress	52	7.4	167208
Mayur More	actor	12	9.0	167185
Pat Shortt	actor	23	7.6	167080
Austin Stoker	actor	14	7.2	166975
Eliza Coupe	actress	21	7.6	166950
Mustafa Shakir	actor	11	6.9	166948
Erland Josephson	actor	73	7.6	166876
Tatsuhisa Suzuki	actor	107	7.6	166787
Rebecka Liljeberg	actress	10	7.5	166757
Masaki Okada	actor	80	7.4	166538
Odd-Magnus Williamson	actor	11	7.2	166517
Brad Rowe	actor	43	7.2	166468
Ronald Colman	actor	93	7.3	166372
Katie Leigh	actress	66	7.4	166334
Okan Yalabik	actor	34	6.7	166308
Dominic Keating	actor	15	7.4	166242
Jane Horrocks	actress	78	6.8	166225
Alex Hernandez	actor	9	7.7	166121
Jon Seda	actor	34	6.5	166114
Tomoaki Maeno	actor	109	7.7	165977
Miyu Tomita	actress	99	8.0	165895
Ardal O'Hanlon	actor	31	7.7	165869
Greer Garson	actress	56	7.3	165864
Enzo Staiola	actor	8	8.3	165728
Kalyani Priyadarshan	actress	26	7.8	165726
Claudio Brook	actor	85	7.0	165678
Yvonne De Carlo	actress	118	6.9	165646
Sapna Pabbi	actress	21	7.2	165643
Vera-Ellen	actress	26	7.4	165618
Dean Shek	actor	61	7.1	165604
Candela Peña	actress	39	7.3	165594
Erica Yohn	actress	9	6.9	165550
Divine	actor	18	6.6	165474
Divine	actress	18	6.6	165474
Divine	director	18	6.6	165474
Katie Lowes	actress	16	7.5	165431
Mina Sadati	actress	24	7.5	165412
Claudia O'Doherty	actress	13	7.4	165361
Parviz Parastui	actor	80	7.2	165350
Jennifer Warren	actress	24	7.2	165337
Jennifer Warren	director	24	7.2	165337
Greg Baldwin	actor	8	8.5	165220
Ahn Seung-Kyoon	actor	9	7.4	165194
Maria Schneider	actress	34	7.0	165164
Karine Vanasse	actress	44	7.1	165098
Jacqueline Scott	actress	23	7.5	165039
Carla Gallo	actress	13	8.2	164914
Carla Gallo	director	13	8.2	164914
Geraldine Fitzgerald	actress	70	6.8	164893
Ellen Dorrit Petersen	actress	32	6.8	164822
Lars Mikkelsen	actor	58	7.5	164803
Hiten Patel	actor	16	8.0	164693
Mu-Yeol Kim	actor	34	7.1	164684
Sally Ann Howes	actress	29	6.7	164633
Mercedes Mason	actress	15	6.5	164567
Poppy Montgomery	actress	49	6.7	164489
Tom Towles	actor	19	6.9	164464
Martin Mull	actor	47	6.6	164454
Brianna Hildebrand	actress	20	7.3	164417
Christine Lahti	actress	77	6.7	164390
Christine Lahti	director	77	6.7	164390
Wilson Jermaine Heredia	actor	9	6.8	164139
Nikita Mikhalkov	actor	79	7.2	164099
Nikita Mikhalkov	director	79	7.2	164099
Emma Suárez	actress	84	7.0	164086
Stephanie Sigman	actress	20	6.7	164077
Ivan Lapikov	actor	35	8.1	164061
Randy Pearlstein	actor	8	8.6	163989
Poorna Jagannathan	actress	9	7.5	163984
Fayssal Bazzi	actor	12	6.7	163969
Dina Shihabi	actress	10	7.2	163933
Suzu Hirose	actress	50	7.1	163899
Kate Magowan	actress	18	6.6	163881
Philippe Torreton	actor	65	6.6	163847
Oscar Levant	actor	19	7.2	163840
Don Pedro Colley	actor	11	6.7	163810
Kim Go-eun	actress	38	8.0	163751
Eden Sher	actress	14	7.5	163695
Bajram Severdzan	actor	7	8.0	163620
Zackary Arthur	actor	14	6.6	163611
Charles Halford	actor	7	7.5	163590
Chao Deng	actor	55	6.7	163576
Paul Eiding	actor	58	7.1	163534
Nikolay Sergeev	actor	17	8.1	163522
Branko Djuric	actor	54	7.8	163502
Branko Djuric	director	54	7.8	163502
Nicholas Guest	actor	29	7.7	163471
Alexandra Dahlström	actress	12	7.4	163453
Alexandra Dahlström	director	12	7.4	163453
Kaitlyn Black	actress	13	7.7	163439
Daphne Reid	actress	20	7.7	163428
Francesca Capaldi	actress	11	6.7	163354
Matthew Page	actor	8	6.8	163271
Ethan Peck	actor	27	7.2	163181
Sheila Atim	actress	13	6.6	163085
Pat Fraley	actor	118	7.1	163057
Malavika Mohanan	actress	7	7.2	163040
Sandrine Bonnaire	actress	99	7.2	163021
Sandrine Bonnaire	director	99	7.2	163021
Louise Latham	actress	24	7.1	162962
Pierce Gagnon	actor	10	6.5	162958
Jean-Pierre Bacri	actor	64	6.8	162951
Oakley Bull	actress	9	7.3	162938
John Ireland	actor	172	6.5	162794
Gagan Arora	actor	10	7.7	162636
Noah Munck	actor	12	7.0	162599
Ron Lester	actor	10	6.6	162557
Park Gyuyoung	actress	18	8.0	162490
Grant Show	actor	41	7.1	162477
Guy Henry	actor	17	7.8	162465
Roger E. Mosley	actor	29	6.9	162395
Dartel McRae	actor	7	6.8	162377
Juan Diego Botto	actor	81	6.8	162371
Juan Diego Botto	director	81	6.8	162371
Andrea Heick Gadeberg	actress	10	7.4	162292
Gene Barry	actor	66	6.9	162195
Bernard Blier	actor	182	7.1	162182
Margaret Lindsay	actress	153	7.1	162114
James Booth	actor	49	7.1	162093
Vanessa Lengies	actress	36	6.6	162043
Richard Dysart	actor	55	7.0	162028
Steven Hill	actor	23	7.7	161961
Nick Di Paolo	actor	8	8.5	161936
Mai Nakahara	actress	162	7.7	161933
John Thomson	actor	61	7.5	161766
Barry Atsma	actor	60	6.9	161750
Christian Convery	actor	7	7.8	161737
Jemima Kirke	actress	10	7.3	161704
Graciela Tenenbaum	actress	12	7.9	161674
Douglas Henshall	actor	48	7.1	161651
Valerio Mastandrea	actor	88	6.9	161649
Valerio Mastandrea	director	88	6.9	161649
Xinyi Zhang	actress	19	7.5	161647
Mao Ichimichi	actress	199	7.1	161609
Song Wok-suk	actress	56	8.0	161497
Sam Richardson	actor	28	6.5	161479
Andrew Gillies	actor	25	7.5	161448
Hisako Kanemoto	actress	118	7.4	161440
James Urbaniak	actor	42	7.5	161433
Kylie Rogers	actress	13	7.0	161337
Esben Dalgaard Andersen	actor	34	7.5	161321
John Barrymore	actor	107	7.0	161217
Justin Bruening	actor	32	6.5	161199
Heida Reed	actress	19	7.1	161191
Martin West	actor	14	7.3	161144
Henry Lloyd-Hughes	actor	19	7.3	161127
Kevin Clash	actor	45	7.7	161115
Matt Barr	actor	27	6.6	161057
Charlie McDermott	actor	16	7.4	160998
Park Ho-San	actor	35	7.5	160934
Paul Winchell	actor	67	7.3	160859
Renato Scarpa	actor	36	7.5	160776
Gilbert Melki	actor	49	6.9	160767
Richard Romanus	actor	38	6.5	160761
Masaharu Satô	actor	63	7.1	160691
Joyce Van Patten	actress	43	6.8	160685
Burghart Klaußner	actor	50	7.2	160676
Anthony Lemke	actor	48	7.1	160603
Haru Kuroki	actress	56	7.9	160545
Aml Ameen	actor	27	6.6	160530
Renée O'Connor	actress	33	6.5	160517
Renée O'Connor	director	33	6.5	160517
Susan Eisenberg	actress	11	6.6	160506
Corinne Massiah	actress	13	7.4	160479
Mayko Nguyen	actress	23	6.5	160341
Dick York	actor	13	7.9	160216
Kalina Jedrusik	actress	33	7.7	160197
Aahana Kumra	actress	31	6.9	160141
Kimberly Hebert Gregory	actress	10	7.3	160115
Danielle Cormack	actress	45	7.4	160103
A Martinez	actor	78	7.5	160097
Sandy Dennis	actress	35	7.2	159997
Carmine Giovinazzo	actor	17	6.9	159937
Alice Brady	actress	68	7.5	159888
John Pankow	actor	19	6.6	159842
Shanice Banton	actress	7	7.4	159824
Brian Caspe	actor	16	7.1	159785
Dorothy Atkinson	actress	14	6.9	159779
Kiyoshi Kobayashi	actor	131	7.4	159740
Bernard Miles	actor	28	7.3	159731
Simbi Kali	actress	8	7.8	159651
Leslie Howard	actor	61	7.2	159618
Leslie Howard	director	61	7.2	159618
Chan-Young Yoon	actor	15	7.5	159598
Anna Magnani	actress	61	7.6	159588
Craig Parker	actor	10	7.5	159574
Yang Kyung-won	actor	10	8.5	159565
Mo'Nique	actress	13	6.7	159563
John Karna	actor	11	6.8	159497
Lal	actor	133	7.2	159495
Lal	director	133	7.2	159495
Neil Hamilton	actor	162	7.0	159457
Zeljko Ivanek	actor	30	7.1	159419
Yôsuke Eguchi	actor	86	7.2	159302
Shaad Randhawa	actor	12	6.8	159282
Erin Fitzgerald	actress	82	7.2	159234
Jane Greer	actress	36	7.6	159221
Sally Yeh	actress	40	7.7	159105
Larry Hagman	actor	59	6.9	159065
Larry Hagman	director	59	6.9	159065
Simone Simon	actress	58	7.2	158993
Edith Scob	actress	36	7.0	158946
Andrew Lawrence	actor	59	7.1	158929
Andrew Lawrence	director	59	7.1	158929
Dan Green	actor	99	6.8	158901
Zachary Scott	actor	82	7.3	158893
Stéphane Audran	actress	112	6.9	158882
Tony Sampson	actor	18	7.6	158775
Paapa Essiedu	actor	8	6.5	158709
Jessica Paré	actress	28	7.1	158623
Fumi Hirano	actress	44	7.4	158598
Rie Takahashi	actress	120	7.6	158593
Michiyo Aratama	actress	55	8.2	158540
Kim Chang-wan	actor	46	8.3	158532
Jade Tailor	actress	13	7.5	158513
Scott McCord	actor	97	6.9	158512
Bill Kerr	actor	38	7.0	158446
Daniel Sharman	actor	11	6.7	158388
Joan Gerber	actress	90	7.8	158341
Larry Gates	actor	14	7.7	158334
Nebojsa Glogovac	actor	69	7.6	158296
Pierre Richard	actor	97	6.7	158292
Aaron Tveit	actor	18	7.3	158274
Madelyn Cline	actress	10	7.5	158271
Lorne Greene	actor	60	6.5	158192
Park Solomon	actor	12	7.5	158187
Greg Eagles	actor	36	7.2	158136
Lucas Bryant	actor	41	7.1	158101
Aisha Hinds	actress	15	7.7	158011
Jan Decleir	actor	113	7.0	157996
Ed Bernard	actor	9	6.9	157959
King Donovan	actor	14	7.7	157810
King Donovan	director	14	7.7	157810
Ilana Glazer	actress	19	6.6	157776
Ronjini Chakraborty	actress	12	8.1	157668
Anamaria Marinca	actress	30	6.9	157644
Romolo Valli	actor	22	7.5	157630
Michel Serrault	actor	182	6.5	157579
Leslie Banks	actor	63	6.8	157513
Aden Young	actor	49	6.5	157417
Christine Willes	actress	11	7.9	157376
Jonathan Haagensen	actor	18	7.8	157280
Billy Magnussen	actor	20	6.6	157278
Britt McKillip	actress	47	7.7	157259
Yi-Hyun Cho	actress	10	7.5	157254
Teddy Sears	actor	20	7.0	157159
Rebecca Front	actress	42	7.7	157139
Sergey Bodrov	actor	24	7.6	157137
Sergey Bodrov	director	24	7.6	157137
Iben Dorner	actress	18	7.6	157113
Cara Gee	actress	14	6.7	157098
Jay Harrington	actor	27	7.4	157088
Achita Sikamana	actress	26	7.0	157072
Janyse Jaud	actress	77	7.3	157057
Brigitte Bardot	actress	64	6.7	157025
Henri Labussière	actor	19	7.4	156958
Chishû Ryû	actor	66	8.0	156896
Annabel Scholey	actress	13	7.3	156886
Kellita Smith	actress	27	6.5	156876
Jim Meskimen	actor	38	7.4	156811
Bridgit Mendler	actress	14	6.9	156787
Tom Bosley	actor	74	7.1	156749
Ravi Kishan	actor	110	6.7	156720
Lee Jong-Suk	actor	43	7.9	156694
Taylor Gray	actor	13	7.6	156690
Margaret Lockwood	actress	83	7.5	156671
Keiju Kobayashi	actor	76	7.6	156628
Óscar Zafra	actor	9	6.5	156543
Viktor Sukhorukov	actor	71	7.5	156483
Jeong Min Park	actor	40	6.5	156479
Anthony Ramos	actor	8	7.2	156449
Herb Edelman	actor	41	7.7	156398
Julie Graham	actress	46	7.7	156352
Edith Haagenrud-Sande	actress	9	6.5	156351
Govardhan Asrani	actor	315	6.9	156336
Govardhan Asrani	director	315	6.9	156336
Robert Newton	actor	63	7.0	156324
Özgü Namal	actress	28	7.1	156281
Forrest Tucker	actor	137	6.7	156225
John Schuck	actor	27	6.7	156054
Peri Gilpin	actress	32	7.6	156022
Fumiyo Kohinata	actor	85	6.6	155994
James Avery	actor	61	7.7	155992
John Marley	actor	57	6.6	155826
Rajesh Sharma	actor	71	6.8	155797
Rajesh Sharma	director	71	6.8	155797
Janet Waldo	actress	127	7.0	155771
Ed Flanders	actor	35	6.6	155762
Jacek Koman	actor	21	6.8	155681
Brian White	actor	38	6.5	155641
Ramin Nikoo	actor	16	7.8	155555
Leila Hyams	actress	75	7.5	155548
Stephen McNally	actor	86	7.2	155543
Dreama Walker	actress	20	6.6	155478
Sarah Habel	actress	8	6.9	155461
Giuliano Gemma	actor	130	6.7	155349
Kayoko Kishimoto	actress	26	7.5	155328
Colleen O'Shaughnessey	actress	109	7.6	155307
Darin Brooks	actor	21	7.6	155281
Ella Joyce	actress	17	6.9	155275
Dylan Taylor	actor	18	7.3	155273
Macha Méril	actress	83	7.3	155261
Nigel Bennett	actor	49	6.6	155192
Arunoday Singh	actor	22	6.5	155148
Audra McDonald	actress	19	7.4	155141
Emi Lo	actress	21	8.2	155089
Karyn Parsons	actress	8	7.7	155089
Shelby Rabara	actress	8	8.2	155011
Jasmin Savoy Brown	actress	11	7.8	155000
Émilie Dequenne	actress	71	7.5	154932
Sam Marin	actor	9	8.4	154877
Sam Marin	actress	9	8.4	154877
Peter Fernandez	actor	33	8.1	154804
Peter Fernandez	director	33	8.1	154804
Harshvardhan Rane	actor	23	7.1	154800
Ritchie Coster	actor	18	7.6	154719
Gregory Scott Cummins	actor	20	8.3	154662
Barbara Flynn	actress	46	7.5	154610
Sophie Ward	actress	40	6.5	154593
Yeong-cheol Kim	actor	53	7.5	154506
Shaun Toub	actor	13	7.5	154444
In-mun Kim	actor	18	7.9	154315
Suzanna Hamilton	actress	25	7.1	154286
Filip Sovagovic	actor	36	7.8	154237
Filip Sovagovic	director	36	7.8	154237
Kim Bo-Yoon	actress	7	7.5	154207
Demetri Martin	actor	18	7.1	154114
Henrik Rafaelsen	actor	26	7.0	154095
Dan Povenmire	actor	14	8.1	154079
Dan Povenmire	director	14	8.1	154079
Joel Basman	actor	36	7.6	154022
Dan Lauria	actor	50	7.9	154016
Rimi Sen	actress	28	7.0	153962
Yuichiro Umehara	actor	107	7.9	153918
Manu Rishi Chadha	actor	28	7.2	153906
Erwin Connelly	actor	7	8.2	153877
Michael Des Barres	actor	29	6.9	153854
Kim Hye-jun	actress	17	8.2	153833
Al Madrigal	actor	23	6.7	153772
Erich Bergen	actor	10	7.1	153734
Hana Sugisaki	actress	40	6.6	153731
Salvatore Esposito	actor	17	7.9	153700
Bill Heck	actor	14	7.1	153686
Pradeep Singh Rawat	actor	49	7.6	153679
James Wolk	actor	22	6.5	153610
Indrajith Sukumaran	actor	97	7.2	153609
Willie Nelson	actor	35	6.9	153580
Ed Begley	actor	38	6.8	153574
Katharina Schüttler	actress	63	7.3	153550
Andreas Katsulas	actor	12	7.7	153504
Ghita Nørby	actress	125	7.3	153452
Barrie Ingham	actor	10	7.2	153448
Stephanie Wong	actress	9	8.2	153447
Gloria Stuart	actress	100	7.2	153407
Margaret Avery	actress	37	7.0	153394
Steven Krueger	actor	7	7.7	153374
Janet Gaynor	actress	66	7.8	153349
Ahmed Helmy	actor	64	7.0	153312
Eli Goree	actor	13	7.1	153283
Jeremy Brett	actor	33	8.5	153239
Rahman	actor	121	7.7	153238
Tamsin Greig	actress	39	8.1	153234
Shawn Yue	actor	85	6.6	153232
Isha Koppikar	actress	59	6.6	153208
Ken Marino	actor	48	7.2	153112
Ken Marino	director	48	7.2	153112
Amruta Subhash	actress	23	6.8	152989
Anna Foglietta	actress	34	7.5	152928
Evgeniy Leonov	actor	69	7.9	152921
Michel Muller	actor	15	6.8	152899
Rajendra Prasad	actor	212	6.8	152893
Joe Smith	actor	11	7.9	152877
Ashley Rickards	actress	15	7.2	152876
Anastasia Hille	actress	15	7.3	152820
Ron McLarty	actor	37	8.1	152714
Zoë Wanamaker	actress	22	8.5	152706
Selim Bayraktar	actor	31	7.1	152592
Martin Shaw	actor	42	6.9	152572
Urvi Singh	actress	7	9.1	152558
Anita Date-Kelkar	actress	12	8.2	152557
Erik Davies	actor	20	8.6	152527
Barbara Gordon	actress	15	7.2	152494
Renato Salvatori	actor	69	7.7	152403
Wallace Beery	actor	166	7.0	152395
Marie Gillain	actress	59	6.5	152283
Gulshan Devaiah	actor	44	6.8	152209
Robert Gustafsson	actor	63	6.9	152168
Robert McCollum	actor	68	7.7	152154
Scott Michael Foster	actor	23	7.4	152065
Metin Akpinar	actor	70	7.2	152057
Urs Rechn	actor	12	7.3	152031
Sarp Akkaya	actor	29	8.2	152006
M.K. Raina	actor	11	7.2	151985
Nicole Jaffe	actress	28	7.6	151850
Michael Rainey Jr.	actor	14	7.2	151810
Kylie Bunbury	actress	12	7.0	151779
Cedric Smith	actor	42	8.4	151779
Tuba Büyüküstün	actress	29	7.5	151741
Richard Biggs	actor	13	7.9	151648
Tsuguo Mogami	actor	18	8.6	151563
Rachel Sennott	actress	7	6.5	151552
Kim Soo-hyun	actor	19	8.1	151534
Shari Springer Berman	director	22	7.4	151515
Shari Springer Berman	actress	22	7.4	151515
Sreenivasan	actor	215	7.6	151437
Sreenivasan	director	215	7.6	151437
Sangili Murugan	actor	12	8.3	151429
Janel Moloney	actress	25	8.0	151388
Enrique Diaz	actor	19	7.9	151279
Tom Ewell	actor	35	7.1	151261
Burçin Terzioglu	actress	23	6.8	151108
Sreenath Bhasi	actor	46	7.9	151103
Kim Jung-nan	actress	42	8.4	151022
Jane Darwell	actress	98	7.7	151016
José Luis Gómez	actor	26	7.1	150992
Sayaka Ôhara	actress	139	7.6	150877
J. Carrol Naish	actor	176	6.5	150876
Elsa Zylberstein	actress	83	6.7	150867
Gabriele Lavia	actor	23	7.2	150827
Gabriele Lavia	director	23	7.2	150827
Laura Donnelly	actress	18	6.7	150813
Riddhi Dogra	actress	13	8.1	150737
Sia	actress	11	6.6	150701
Sia	director	11	6.6	150701
Kirsten Sheridan	actress	8	7.9	150682
Kirsten Sheridan	director	8	7.9	150682
Jonah Blechman	actor	13	6.7	150656
SungWon Cho	actor	19	8.7	150627
June Allyson	actress	87	6.8	150600
Samson Kayo	actor	15	7.0	150540
Ann Dvorak	actress	116	7.2	150538
Michael J. Willett	actor	9	7.3	150522
John Rafter Lee	actor	17	7.7	150507
Mike Mitchell	actor	45	7.4	150482
Mike Mitchell	director	45	7.4	150482
Sahr Ngaujah	actor	13	6.7	150420
David Conrad	actor	18	6.6	150385
Gary Imhoff	actor	10	7.6	150342
Harold Lloyd	actor	41	7.6	150298
Christopher Denham	actor	30	6.7	150287
Christopher Denham	director	30	6.7	150287
Vicki Pepperdine	actress	28	7.3	150237
Mazhar Alanson	actor	10	7.7	150210
Heidi von Palleske	actress	22	7.1	150176
Michael Chekhov	actor	12	7.5	150154
Álvaro Cervantes	actor	43	6.6	150145
Chitrangda Singh	actress	24	6.6	150094
Kat Cressida	actress	7	7.9	150081
Troy Evans	actor	10	8.4	150038
Freema Agyeman	actress	21	7.2	150028
Ayo Edebiri	actress	8	8.1	149967
Deanna Russo	actress	26	6.5	149933
Anton Rodgers	actor	37	7.4	149904
Elisha Applebaum	actress	8	6.8	149868
Edi Patterson	actress	22	8.0	149832
Cecil Parker	actor	76	7.2	149830
Kim Won-Hae	actor	66	8.0	149742
Barun Sobti	actor	23	8.2	149733
Courtenay Taylor	actress	11	8.4	149731
Innocent	actor	261	7.3	149661
Masanobu Andô	actor	77	6.8	149554
Farhad Aslani	actor	76	7.1	149496
Eve Myles	actress	23	7.6	149493
Lindsay Seidel	actress	101	7.6	149488
Victoire Du Bois	actress	10	7.5	149452
Halina Gryglaszewska	actress	12	7.7	149436
Emma Booth	actress	25	6.8	149378
Siddhant Chaturvedi	actor	11	7.4	149357
Hannah van der Westhuysen	actress	9	6.8	149343
Katie Stevens	actress	9	7.0	149328
